Cote;Type;DataType;Dates;Titre;Sous-titre;Auteur;Destinataire;Sujet;Description;Notes;Résumé;Éditeur;Localisation;Droits;Ayants-droit;Format;Langue;État génétique;Relations génétiques;Autres ressources en relation;Nature du document;Support;État général;Publication;Représentation;Contexte géographique;Lieu d'expédition;Type de publication;Titre de la publication;Lieu de publication;Numéro de la publication;Périodicité;Directeur de la publication;Auteur analyse;Date analyse;Auteur description;Date création notice;Auteur révision;Date révision notice;Auteur transcription;
AS-AA1-01;Obras, creaciones, producción – Novelas;Text;1967-03-26;Tu casa en una altura [C1];[Aquello había empezado a parecerme algo];Somers, Armonía;;"""Tu casa en una altura""";En relación con la versión final tiene muchas páginas más. Se evidencia que la autora hizo muchos recortes, ajustes y correcciones. En esta copia los capítulos tienen títulos.;Título consignado en el exterior de la carpeta en la cual estaba el tapuscrito. Numerosas tachaduras, añadiduras y correcciones manuscritas. Texto: tinta negra. Correcciones: lápiz, tinta azul, tinta negra. Tenía varias hojas manuscritas intercaladas sin enumerar y sin indicaciones con respecto al lugar que deberían ocupar en el texto definitivo (indexadas por separado del AS-AA1-04 al AS-AA1-21). Cada capítulo estaba grapado con un alfiler o con un clip (oxidados). Página 76 cortada a la mitad.;;Responsable del archivo: Dra Sylvie Josserand Colla, (Equipo Archivos-CRLA, Institut des textes et manuscrits modernes, CNRS-UMR8132) | Editor: Proyecto CollEx-Persée Archivos 3.0, AAP 2018 (Responsable científico: Pra. Fatiha Idmhand, Equipo Archivos-CRLA, Institut des textes et manuscrits modernes, CNRS-UMR8132) | Projet CollEx-Persée Archivos 3.0, AAP 2018 (Responsable scientifique : Pr. Fatiha Idmhand, Equipe Archivos-CRLA, Institut des textes et manuscrits modernes, CNRS-UMR8132);Centre de Recherches Latino-Américaines (CRLA–Archivos, ITEM UMR8132). MSHS - Bât. A5, 1er étage 5 rue Théodore Lefebvre - TSA21103. 86073 Poitiers cedex 9.;Fondo CRLA-Archivos - Archivo Armonía Somers - Licencia Creative Commons CC-BY-NC-ND (Attribution-Non Commercial-No Derivatives 4.0 International) | Fonds CRLA-Archivos - Archives Armonía Somers- Licence Creative Commons CC-BY-NC-ND (Attribution-Non Commercial-No Derivatives 4.0 International);;131 f., 139 p. numeradas 1-6, 5-6, 7-57, 2 pág. s.n., 58-116, 107, 117-137, 220 x 350 mm;spa;Tapuscrito - Copia 1;AS-AA1-02 | AS-AA1-03 | AS-AA1-04 | AS-AA1-05 | AS-AA1-06 | AS-AA1-07 | AS-AA1-08 | AS-AA1-09 | AS-AA1-10 | AS-AA1-11 | AS-AA1-12 | AS-AA1-13 | AS-AA1-14 | AS-AA1-15 | AS-AA1-16 | AS-AA1-17 | AS-AA1-18 | AS-AA1-19 | AS-AA1-20 | AS-AA1-21 | AS-AA1-22;;Folios tapuscritos libres;Papel;Bueno;Novela inédita. Solo se publicaron fragmentos en una revista uruguaya | Somers, Armonía, « Tu casa en una altura. Algunos fragmentos inéditos », Maldoror, núm. 24 (Mayo 2006), p. 9-13.;;Uruguay | Montevideo;;;;;;;;Dalmagro, María Cristina;2015/2019;Dalmagro, María Cristina | Passion, Laurent;2020-02-11;;;;
MX-F-01;Fotos;imagen;1933;Margarita Xirgu de Elektra;;indeterminado;;Teatro, actuación, Mérida;"Foto de Margarita Xirgu sacada en el ""peristilo"" del teatro romano de Mérida, caracterizada de Elektra";Archivo original nombrado « Medea »;;Responsable del archivo : Familia Margarita Xirgu (Xavier Rius Xirgu, Ester Xirgu Cortacans, Natalia Valenzuela) | Editor: Proyecto e-spectateur, AAP 2020 (Responsable científico : Pr. Cécile Chantraine Braillon, Equipo CRHIA, La Rochelle Université);Barcelona;Archives familiar de Margarita Xirgu – Licencia Licencia Creative Commons CC-BY-NC-ND (Attribution-Non Commercial-No Derivatives 4.0 International);;33Ko, 305 × 500;;;;;Archivo JPEG;Digital;Mediocre;On-line : http://margaritaxirgu.es/fotos/medea.jpg (última consulta : 2020-04-20);;Espagne;;;;;;;;Chantraine Braillon, Cécile;2020-04-20;Chantraine Braillon, Cécile;$2020-04-20$;;;;
MX-F-02;Fotos;imagen;1920;Margarita Xirgu;;indeterminado;;Retrato;Un retrato de Margarita Xirgu sacada del archivo familiar;El archivo original se llama: ‘’Indedita’’;;Responsable del archivo : Familia Margarita Xirgu (Xavier Rius Xirgu, Ester Xirgu Cortacans, Natalia Valenzuela) | Editor: Proyecto e-spectateur, AAP 2020 (Responsable científico :Alumno: Alan Gil Master LEA Amérique, La Rochelle Université);;Archives familiales Margarita Xirgu – Licencia Licencia Creative Commons CC-BY-NC-ND (Attribution-Non Commercial-No Derivatives 4.0 International);;24 ko 364x500;;;;;Archivo JPG;Digital;Bueno;On-line : http://margaritaxirgu.es/fotos/inedita.jpg (última consulta : 2020-04-20);;Espagne;;;;;;;;Gil Alan;2020-04-20;Alan Gil;$2020-04-20$;;;;
 MX-F-03;Fotos;imagen;1967;Margarita Xirgu;;indeterminado;;Foto de su vida personal;Margarita  Xirgu con su esposo en su casa de Punta Ballena;;;Responsable del archivo : Familia Margarita Xirgu (Xavier Rius Xirgu, Ester Xirgu Cortacans, Natalia Valenzuela) | Editor: Proyecto e-spectateur, AAP 2020 (Responsable científico :Alumno: Alan Gil Master LEA Amérique, La Rochelle Université);;Archives familiales Margarita Xirgu – Licencia Licencia Creative Commons CC-BY-NC-ND (Attribution-Non Commercial-No Derivatives 4.0 International);;640x415;;;;;Archivo JPEG;Digital;Bueno;On-line: http://margaritaxirgu.es/fotos/pb_1.jpg  (última consulta: http 2020-04-20);;Uruguay | Montevideo;;;;;;;;Gil Alan;2020-04-20;Alan Gil;$2020-04-20$;;;;
 MX-F-04;Fotos;imagen;1930;Margarita Xirgu;;indeterminado;;Foto de Margarita actuando en una escena de teatro;Foto de Margarita Xirgu representando  ‘’La zapatera prodigiosa’’ de Frederico Garcia Lorca’’;El archivo original se llama: ‘’Margarita  Xirgu en la  zapatera prodigiosa’’;;Responsable del archivo : Familia Margarita Xirgu (Xavier Rius Xirgu, Ester Xirgu Cortacans, Natalia Valenzuela) | Editor: Proyecto e-spectateur, AAP 2020 (Responsable científico :Alumno: Alan Gil Master LEA Amérique, La Rochelle Université);Ciudad Real Museo Nacional  Del teatro;Archives familiales Margarita Xirgu – Licencia Licencia Creative Commons CC-BY-NC-ND (Attribution-Non Commercial-No Derivatives 4.0 International);;517 ko 1368x1812;;;Mx-971/972/73/974/975/976/977978;;Archivo JPG;Digital;Mediocre;Online: https://photos.google.com/share/AF1QipNUYj3bfTLVbMoMYEnCQ2a2S8rj58LdIgpQtZ868dYwMqJLNgYZuW8llwmka6XSUw/photo/AF1QipO49Mz03y_IfSWCLGXCqH6f1tChIJQlwVah4C8o?key=RUpVWEtfVnVBNXFwcWEwUDlHLW9oM1MwSi0zQ0xR (última consulta: http 2020-04-20) (última consulta: http 2020-04-20);;Espagne;;;;;;;;Gil Alan;2020-04-20;Alan Gil;$2020-04-20$;;;;
 MX-F-05;Fotos;imagen;Desconocido;Margarita Xirgu;;indeterminado;;Foto de Margarita Xirgu  de cerca;Foto de Margarita Xirgu  vestida con ropa elegante, actuando en  una escena de teatro;;;Responsable del archivo : Familia Margarita Xirgu (Xavier Rius Xirgu, Ester Xirgu Cortacans, Natalia Valenzuela) | Editor: Proyecto e-spectateur, AAP 2020 (Responsable científico :Alumno: Alan Gil Master LEA Amérique, La Rochelle Université);Barcelona MAE;Archives familiales Margarita Xirgu – Licencia Licencia Creative Commons CC-BY-NC-ND (Attribution-Non Commercial-No Derivatives 4.0 International);;158ko 960x1514;;;;;Archivo JPG;Digital;Mediocre;Online: https://photos.google.com/share/AF1QipPsjdPJZWVD3kY3r63uJpce3CGF9QrkehGl68T5BQC4afdMrWi5S4-di1NCwfOWQg/photo/AF1QipP5_P2xwzMDmI2TmJ0arlKV9-4RDSahBfn38FM2?key=bFdWd3dETEJuNEtrVUVhaHJlOFVyb3BwRExCSjhR (última consulta: 2020-04-20);;Espagne;;;;;;;;Gil Alan;2020-04-20;Alan Gil;$2020-04-20$;;;;
 MX-F-06;Fotos;imagen;Desconocido;Margarita Xirgu;;indeterminado;;Foto de Margarita actuando;Foto de Margarita Xirgu   actuando en  una escena de teatro;El archivo original se llama: ‘’ 02.jpg ’’;;Responsable del archivo : Familia Margarita Xirgu (Xavier Rius Xirgu, Ester Xirgu Cortacans, Natalia Valenzuela) | Editor: Proyecto e-spectateur, AAP 2020 (Responsable científico :Alumno: Alan Gil Master LEA Amérique, La Rochelle Université); Desconocido;Archives familiales Margarita Xirgu – Licencia Licencia Creative Commons CC-BY-NC-ND (Attribution-Non Commercial-No Derivatives 4.0 International);;402 × 625  43,5 ko;;;;;Archivo JPG;Digital;Mediocre;Online:https://photos.google.com/share/AF1QipNW8bRri9xHS0AiKHoQRKY47_HlMYYmElD_5CKW-SOyCQT4shJ8VcnX21kznj-_YA/photo/AF1QipNJ90iWGqGv_sg3q2xk7xS9SeiuxOhRsKenemqf?key=UW1halZNaTlKdVVpdm5UbHd5cEk3QVdGenBnTlp3 Online: (última consulta: http 2020-04-20);;Desconocido;;;;;;;;Gil Alan;2020-04-20;Alan Gil;$2020-04-20$;;;;
 MX-F-07;Fotos;imagen;1906-1935;La Reina Joves;;indeterminado;;Foto de Margarita actuando;Foto de Margarita Xirgu   interpretando el papel de La Reyna Joves;El archivo original se llama: 03.jpg;;Responsable del archivo : Familia Margarita Xirgu (Xavier Rius Xirgu, Ester Xirgu Cortacans, Natalia Valenzuela) | Editor: Proyecto e-spectateur, AAP 2020 (Responsable científico :Alumno: Alan Gil Master LEA Amérique, La Rochelle Université); Desconocido;Archives familiales Margarita Xirgu – Licencia Licencia Creative Commons CC-BY-NC-ND (Attribution-Non Commercial-No Derivatives 4.0 International);;400 × 640 38,5 ko;;;;;Archivo JPG;Digital;Mediocre;Online: https://photos.google.com/share/AF1QipNW8bRri9xHS0AiKHoQRKY47_HlMYYmElD_5CKW-SOyCQT4shJ8VcnX21kznj-_YA/photo/AF1QipO6GoO-vpEDS_s0kQgCqwZNIDS4xPmZ4_Q3NXjl?key=UW1halZNaTlKdVVpdm5UbHd5cEk3QVdGenBnTlp3 (última consulta: 2020-04-20);;Desconocido;;;;;;;;Gil Alan;2020-04-20;Alan Gil;$2020-04-20$;;;;
 MX-F-08;Fotos;imagen;1906-1935;La Reina Joves;;indeterminado;;Foto de Margarita actuando;Foto de Margarita Xirgu   interpretando el papel de La Reyna Joves;El archivo original se llama: 04.jpg;;Responsable del archivo : Familia Margarita Xirgu (Xavier Rius Xirgu, Ester Xirgu Cortacans, Natalia Valenzuela) | Editor: Proyecto e-spectateur, AAP 2020 (Responsable científico :Alumno: Alan Gil Master LEA Amérique, La Rochelle Université); Desconocido;Archives familiales Margarita Xirgu – Licencia Licencia Creative Commons CC-BY-NC-ND (Attribution-Non Commercial-No Derivatives 4.0 International);;400 × 640 39,4 ko;;;;;Archivo JPG;Digital;Bueno;https://photos.google.com/share/AF1QipNW8bRri9xHS0AiKHoQRKY47_HlMYYmElD_5CKW-SOyCQT4shJ8VcnX21kznj-_YA/photo/AF1QipN8cJ3TgwGc2yFJ4uJROASDt5Vr4oQwD9U8us4H?key=UW1halZNaTlKdVVpdm5UbHd5cEk3QVdGenBnTlp3 (última consulta: 2020-04-20);;Espagne;;;;;;;;Gil Alan;2020-04-20;Alan Gil;$2020-04-20$;;;;
 MX-F-09;Fotos;imagen;1906-1935;Margarita Xirgu;;indeterminado;;Foto de Margarita actuando;Foto de Margarita Xirgu   actuando en  una escena de teatro;El archivo original se llama: 05.jpg;;Responsable del archivo : Familia Margarita Xirgu (Xavier Rius Xirgu, Ester Xirgu Cortacans, Natalia Valenzuela) | Editor: Proyecto e-spectateur, AAP 2020 (Responsable científico :Alumno: Alan Gil Master LEA Amérique, La Rochelle Université); Desconocido;Archives familiales Margarita Xirgu – Licencia Licencia Creative Commons CC-BY-NC-ND (Attribution-Non Commercial-No Derivatives 4.0 International);;402 × 616 39,3 ko;;;;;Archivo JPG;Digital;Bueno;https://photos.google.com/share/AF1QipNW8bRri9xHS0AiKHoQRKY47_HlMYYmElD_5CKW-SOyCQT4shJ8VcnX21kznj-_YA/photo/AF1QipO8ZhR8L7VcsHwB1Ffl5UtXnwRs794mjgB9e9Sv?key=UW1halZNaTlKdVVpdm5UbHd5cEk3QVdGenBnTlp3 (última consulta: 2020-04-20);;Espagne;;;;;;;;Gil Alan;2020-04-20;Alan Gil;$2020-04-20$;;;;
 MX-F-10;Fotos;imagen;1910-1935;La Reina Joves;;indeterminado;;Foto de Margarita actuando;Foto de Margarita Xirgu   interpretando el papel de La Reyna Joves;El archivo original se llama: 06.jpg;;Responsable del archivo : Familia Margarita Xirgu (Xavier Rius Xirgu, Ester Xirgu Cortacans, Natalia Valenzuela) | Editor: Proyecto e-spectateur, AAP 2020 (Responsable científico :Alumno: Alan Gil Master LEA Amérique, La Rochelle Université); Desconocido;Archives familiales Margarita Xirgu – Licencia Licencia Creative Commons CC-BY-NC-ND (Attribution-Non Commercial-No Derivatives 4.0 International);;402 × 616 37,9 ko;;;;;Archivo JPG;Digital;Mediocre;https://photos.google.com/share/AF1QipNW8bRri9xHS0AiKHoQRKY47_HlMYYmElD_5CKW-SOyCQT4shJ8VcnX21kznj-_YA/photo/AF1QipON4xJHIkF4K5PHb0-JHxBtFiRhNZW3VNFz1UMz?key=UW1halZNaTlKdVVpdm5UbHd5cEk3QVdGenBnTlp3 https://photos.google.com/share/AF1QipNW8bRri9xHS0AiKHoQRKY47_HlMYYmElD_5CKW-SOyCQT4shJ8VcnX21kznj-_YA/photo/AF1QipMvHWqnn9DNSdYlxJqRw2iInjL89Zm9x8vdToMg?key=UW1halZNaTlKdVVpdm5UbHd5cEk3QVdGenBnTlp3 (última consulta: 2020-04-20);;Espagne;;;;;;;;Gil Alan;2020-04-20;Alan Gil;$2020-04-20$;;;;
 MX-F-11;Fotos;imagen;1906-1935;La Reina Joves;;indeterminado;;Foto de Margarita actuando;Foto de Margarita Xirgu   interpretando el papel de La Reyna Joves;El archivo original se llama: 07.jpg;;Responsable del archivo : Familia Margarita Xirgu (Xavier Rius Xirgu, Ester Xirgu Cortacans, Natalia Valenzuela) | Editor: Proyecto e-spectateur, AAP 2020 (Responsable científico :Alumno: Alan Gil Master LEA Amérique, La Rochelle Université);desconocido;Archives familiales Margarita Xirgu – Licencia Licencia Creative Commons CC-BY-NC-ND (Attribution-Non Commercial-No Derivatives 4.0 International);;402 × 64039,2 ko;;;;;Archivo JPG;Digital;Mediocre;https://photos.google.com/share/AF1QipNW8bRri9xHS0AiKHoQRKY47_HlMYYmElD_5CKW-SOyCQT4shJ8VcnX21kznj-_YA/photo/AF1QipMvHWqnn9DNSdYlxJqRw2iInjL89Zm9x8vdToMg?key=UW1halZNaTlKdVVpdm5UbHd5cEk3QVdGenBnTlp3;;Espagne;;;;;;;;Gil Alan;$2020-04-20$;Alan Gil;$2020-04-20$;;;;
 MX-F-12;Fotos;imagen;1932;Margarita Xirgu de Elektra;;indeterminado;;Foto de Margarita actuando;Foto de Margarita Xirgu   actuando Elektra;El archivo original se llama: 08.jpg;;Responsable del archivo : Indeterminado  | Editor: Proyecto e-spectateur, AAP 2020 (Responsable científico :Alumno: Alan Gil Master LEA Amérique, La Rochelle Université);Uruguay;Archives familiales Margarita Xirgu – Licencia Licencia Creative Commons CC-BY-NC-ND (Attribution-Non Commercial-No Derivatives 4.0 International);;640 × 442 52,6 ko;;;;;Archivo JPG;Digital;Muy dañado;https://photos.google.com/share/AF1QipNW8bRri9xHS0AiKHoQRKY47_HlMYYmElD_5CKW-SOyCQT4shJ8VcnX21kznj-_YA/photo/AF1QipNAJjQs8byopdZufo5RT8H_Z6CrL9v7w6b3hVyq?key=UW1halZNaTlKdVVpdm5UbHd5cEk3QVdGenBnTlp3 (última consulta: 2020-04-20);;Espagne;;;;;;;;Gil Alan;$2020-04-20$;Alan Gil;$2020-04-20$;;;;
 MX-F-13;Fotos;imagen;1909;"Margarita Xirgu ""El Rei"" de Gaston Caillavet";;indeterminado;;Foto de Margarita actuando;" Margarita Xirgu y Jaume Borràs representando ""El Rei"" de Gaston Caillavet, Robert de Flers y Emmanuel Aréne.";El archivo original se llama: 2.jpg;;Responsable del archivo : Indeterminado  | Editor: Proyecto e-spectateur, AAP 2020 (Responsable científico :Alumno: Alan Gil Master LEA Amérique, La Rochelle Université);Indeterminado;Archives familiales Margarita Xirgu – Licencia Licencia Creative Commons CC-BY-NC-ND (Attribution-Non Commercial-No Derivatives 4.0 International);;640 × 400 38,7 ko;;;;;Archivo JPG;Digital;Mediocre;https://photos.google.com/share/AF1QipNW8bRri9xHS0AiKHoQRKY47_HlMYYmElD_5CKW-SOyCQT4shJ8VcnX21kznj-_YA/photo/AF1QipOQ633e_Y-6_XWNck_TNndvsOCJcIVMjIM3d9Yi?key=UW1halZNaTlKdVVpdm5UbHd5cEk3QVdGenBnTlp3 (última consulta: 2020-04-20);;Espagne;;;;;;;;Gil Alan;$2020-04-20$;Alan Gil;$2020-04-20$;;;;
 MX-F-14;Fotos;imagen;1994;Hermanamiento de Margarita Xirgu y Garcia Lorca;;indeterminado;;Foto del anuncio sobre el hermanamineto de Garcia Lorca y Margarita  Xirgu;;El archivo original se llama: Lorcxirg.jpg;;Responsable del archivo : Indeterminado  | Editor: Proyecto e-spectateur, AAP 2020 (Responsable científico :Alumno: Alan Gil Master LEA Amérique, La Rochelle Université);Indeterminado;Archives familiales Margarita Xirgu – Licencia Licencia Creative Commons CC-BY-NC-ND (Attribution-Non Commercial-No Derivatives 4.0 International);;431 × 600 58,3 ko;;;;;Archivo JPG;Digital;Mediocre;https://photos.google.com/share/AF1QipNW8bRri9xHS0AiKHoQRKY47_HlMYYmElD_5CKW-SOyCQT4shJ8VcnX21kznj-_YA/photo/AF1QipOd3Fy-48RO0u591RYCTzbleVT8WGvqA_p6ZBVl?key=UW1halZNaTlKdVVpdm5UbHd5cEk3QVdGenBnTlp3 (última consulta: 2020-04-20);;Indeterminado;;;;;;;;Gil Alan;$2020-04-20$;Alan Gil;$2020-04-20$;;;;
 MX-F-15;Fotos;imagen;1906-1940;Margarita Xirgu;;indeterminado;;Foto de Margarita Xirgu;Foto de Margarita Xirgu en el escena;El archivo original se llama:_01.jpg;;Responsable del archivo : Indeterminado  | Editor: Proyecto e-spectateur, AAP 2020 (Responsable científico :Alumno: Alan Gil Master LEA Amérique, La Rochelle Université);Indeterminado;Archives familiales Margarita Xirgu – Licencia Licencia Creative Commons CC-BY-NC-ND (Attribution-Non Commercial-No Derivatives 4.0 International);;402 × 623 41,2 ko;;;;;Archivo JPG;Digital;Mediocre;https://photos.google.com/share/AF1QipNW8bRri9xHS0AiKHoQRKY47_HlMYYmElD_5CKW-SOyCQT4shJ8VcnX21kznj-_YA/photo/AF1QipO9lJqd68z1LlGikqMEx0d-fVVrHk_x_DD9qfh8?key=UW1halZNaTlKdVVpdm5UbHd5cEk3QVdGenBnTlp3 (última consulta: 2020-04-20);;Indeterminado;;;;;;;;Gil Alan;$2020-04-20$;Alan Gil;$2020-04-20$;;;;
 MX-F-16;Fotos;imagen;1930;Margarita Xirgu;;indeterminado;;Foto de Margarita Xirgu actuando la reina Jove;Foto de Margarita Xirgu actuando para la ‘’ zapatera prodigiosa’’;El archivo original se llama: imagen1.jpg;;Responsable del archivo : Indeterminado  | Editor: Proyecto e-spectateur, AAP 2020 (Responsable científico :Alumno: Alan Gil Master LEA Amérique, La Rochelle Université);Indeterminado;Archives familiales Margarita Xirgu – Licencia Licencia Creative Commons CC-BY-NC-ND (Attribution-Non Commercial-No Derivatives 4.0 International);;421 × 544 48,8 ko;;;;;Archivo JPG;Digital;bueno;https://photos.google.com/share/AF1QipNW8bRri9xHS0AiKHoQRKY47_HlMYYmElD_5CKW-SOyCQT4shJ8VcnX21kznj-_YA/photo/AF1QipNRVsL1l6IKGuQh1Mse-XFKU6c20e-7DLGdz9CD?key=UW1halZNaTlKdVVpdm5UbHd5cEk3QVdGenBnTlp3 (última consulta: 2020-04-20);;Madrid España;;;;;;;;Gil Alan;$2020-04-20$;Alan Gil;$2020-04-20$;;;;
 MX-F-17;Fotos;imagen;1911;Margarita Xirgu la Reina Jove;;indeterminado;;Foto de Margarita Xirgu;Foto de Margarita Xirgu   interpretando:’’ La Reyna Joves’’;El archivo original: se llama:margar1.jpg;;Responsable del archivo : Indeterminado  | Editor: Proyecto e-spectateur, AAP 2020 (Responsable científico :Alumno: Alan Gil Master LEA Amérique, La Rochelle Université);Indeterminado;Archives familiales Margarita Xirgu – Licencia Licencia Creative Commons CC-BY-NC-ND (Attribution-Non Commercial-No Derivatives 4.0 International);;380 × 600 42 ko;;;;;Archivo JPG;Digital;bueno;https://photos.google.com/share/AF1QipNW8bRri9xHS0AiKHoQRKY47_HlMYYmElD_5CKW-SOyCQT4shJ8VcnX21kznj-_YA/photo/AF1QipPlNKC4kqjjhkPZWF2qPWTOYlFb2yivz6nx8GsZ?key=UW1halZNaTlKdVVpdm5UbHd5cEk3QVdGenBnTlp3 (última consulta: 2020-04-20);;Indeterminado;;;;;;;;Gil Alan;$2020-04-20$;Alan Gil;$2020-04-20$;;;;
 MX-F-18;Fotos;imagen;1910-1935;Margarita Xirgu la Reina Jove;;indeterminado;;Foto de Margarita Xirgu;Foto de Margarita Xirgu   interpretando:’’ La Reyna Joves’’;El archivo original:   margar2a.jpg;;Responsable del archivo :Familia de Maragrita Xirgu (fondo de los hermanos Xiru)  | Editor: Proyecto e-spectateur, AAP 2020 (Responsable científico :Alumno: Alan Gil Master LEA Amérique, La Rochelle Université);Indeterminado;Archives familiales Margarita Xirgu – Licencia Licencia Creative Commons CC-BY-NC-ND (Attribution-Non Commercial-No Derivatives 4.0 International);;386 × 600 42,8 ko;;;;;Archivo JPG;Digital;bueno;https://photos.google.com/share/AF1QipNW8bRri9xHS0AiKHoQRKY47_HlMYYmElD_5CKW-SOyCQT4shJ8VcnX21kznj-_YA/photo/AF1QipMIlEFYA0a1y0bjCV2a4ulmXbAQ8VqSpHKbbPqY?key=UW1halZNaTlKdVVpdm5UbHd5cEk3QVdGenBnTlp3 (última consulta: 2020-04-20);;España;;;;;;;;Gil Alan;$2020-04-20$;Alan Gil;$2020-04-20$;;;;
 MX-F-19;Fotos;imagen;1910-1935;Margarita Xirgu la Reina Jove;;indeterminado;;Foto de Margarita Xirgu;Foto de Margarita Xirgu   interpretando:’’ La Reyna Joves’’;El archivo original se llama: margaridaa.jpg;;Responsable del archivo :Familia de Maragrita Xirgu (fonfo de los hermanos Xiru)  | Editor: Proyecto e-spectateur, AAP 2020 (Responsable científico :Alumno: Alan Gil Master LEA Amérique, La Rochelle Université);Indeterminado;Archives familiales Margarita Xirgu – Licencia Licencia Creative Commons CC-BY-NC-ND (Attribution-Non Commercial-No Derivatives 4.0 International);;396 × 600 45,3 ko;;;;;Archivo JPG;Digital;bueno;https://photos.google.com/share/AF1QipNW8bRri9xHS0AiKHoQRKY47_HlMYYmElD_5CKW-SOyCQT4shJ8VcnX21kznj-_YA/photo/AF1QipNOwAX0j-LNZu9E12_HCMXpV06fiPqXPZ16X4du?key=UW1halZNaTlKdVVpdm5UbHd5cEk3QVdGenBnTlp3 (última consulta: 2020-04-20);;España;;;;;;;;Gil Alan;$2020-04-20$;Alan Gil;$2020-04-20$;;;;
 MX-F-20;Fotos;imagen;1906-1920Magarita Xirgu;;;indeterminado;;Foto de Margarita Xirgu con su familia;Foto de Margarita xirgu  de joven, vestida con una túnica;El archivo original: se llama margxirgu.jpg;;Responsable del archivo :Indeterminado| Editor: Proyecto e-spectateur, AAP 2020 (Responsable científico :Alumno: Alan Gil Master LEA Amérique, La Rochelle Université);Indeterminado;Archives familiales Margarita Xirgu – Licencia Licencia Creative Commons CC-BY-NC-ND (Attribution-Non Commercial-No Derivatives 4.0 International);;391 × 628 40,5 ko;;;;;Archivo JPG;Digital;bueno;(última consulta: http 2020-04-20) https://photos.google.com/share/AF1QipNW8bRri9xHS0AiKHoQRKY47_HlMYYmElD_5CKW-SOyCQT4shJ8VcnX21kznj-_YA/photo/AF1QipMrtIRCK7dOVvxjnI1VA7R-s4yvp8rxO7LLlebM?key=UW1halZNaTlKdVVpdm5UbHd5cEk3QVdGenBnTlp3;;Indeterminado;;;;;;;;Gil Alan;$2020-04-20$;Alan Gil;$2020-04-20$;;;;
 MX-F-21;Fotos;imagen;1930-1950;Familia de Margarita Xirgu;;indeterminado;;Foto de Margarita Xirgu;Foto de Margarita Xirgu con su familia  en su casa;El archivo original se llama: margxirgu10.jpg;;Responsable del archivo :Indeterminado| Editor: Proyecto e-spectateur, AAP 2020 (Responsable científico :Alumno: Alan Gil Master LEA Amérique, La Rochelle Université);Indeterminado;Archives familiales Margarita Xirgu – Licencia Licencia Creative Commons CC-BY-NC-ND (Attribution-Non Commercial-No Derivatives 4.0 International);;600 × 464 61,2 ko;;;;;Archivo JPG;Digital;bueno;https://photos.google.com/share/AF1QipNW8bRri9xHS0AiKHoQRKY47_HlMYYmElD_5CKW-SOyCQT4shJ8VcnX21kznj-_YA/photo/AF1QipNop15l19MBDibv7Q36ufKPEgZ-wx4dd6kHuU4L?key=UW1halZNaTlKdVVpdm5UbHd5cEk3QVdGenBnTlp3 (última consulta: 2020-04-20);;Indeterminado;;;;;;;;Gil Alan;$2020-04-20$;Alan Gil;$2020-04-20$;;;;
 MX-F-22;Fotos;imagen;1916-1919;Margarita Xirgu;;indeterminado;;Foto de Margarita Xirgu;Margarita Xirgu actuando en una obra no identificada.;el archivo original se llama: margxirgu11.jpg;;Responsable del archivo :Familia de Maragrita Xirgu (fondo de los hermanos Xiru)  | Editor: Proyecto e-spectateur, AAP 2020 (Responsable científico :Alumno: Alan Gil Master LEA Amérique, La Rochelle Université);Indeterminado;Archives familiales Margarita Xirgu – Licencia Licencia Creative Commons CC-BY-NC-ND (Attribution-Non Commercial-No Derivatives 4.0 International);;600 × 443 57,3 ko;;;;;Archivo JPG;Digital;mediocre;https://photos.google.com/share/AF1QipNW8bRri9xHS0AiKHoQRKY47_HlMYYmElD_5CKW-SOyCQT4shJ8VcnX21kznj-_YA/photo/AF1QipOdfgiTeEi31IIfXxNDHnMBuTDhl9OkDVSpajbz?key=UW1halZNaTlKdVVpdm5UbHd5cEk3QVdGenBnTlp3 (última consulta: 2020-04-20);;España;;;;;;;;Gil Alan;$2020-04-20$;Alan Gil;$2020-04-20$;;;;
 MX-F-23;Fotos;imagen;1906-1925;Margarita Xirgu;;indeterminado;;Foto de Margarita Xirgu;Foto de Margarita Xirgu   actuando;El archivo original se llama: margxirgu12.jpg;;Responsable del archivo :Indeterminado| Editor: Proyecto e-spectateur, AAP 2020 (Responsable científico :Alumno: Alan Gil Master LEA Amérique, La Rochelle Université);Indeterminado;Archives familiales Margarita Xirgu – Licencia Licencia Creative Commons CC-BY-NC-ND (Attribution-Non Commercial-No Derivatives 4.0 International);;600 × 422 41,8 ko;;;;;Archivo JPG;Digital;mediocre;https://photos.google.com/share/AF1QipNW8bRri9xHS0AiKHoQRKY47_HlMYYmElD_5CKW-SOyCQT4shJ8VcnX21kznj-_YA/photo/AF1QipNr3OHF24r2JYVAYLqf7TAMS-kzXd9Co0H6AHyX?key=UW1halZNaTlKdVVpdm5UbHd5cEk3QVdGenBnTlp3 (última consulta: 2020-04-20);;España;;;;;;;;Gil Alan;$2020-04-20$;Alan Gil;$2020-04-20$;;;;
